regex,municipio
^[^A-Z]*BARRO[^A-Z]+ALTO[^A-Z]*$,Barro Alto
^[^A-Z]*SEBASTIAO[^A-Z]+LARANJEIRAS[^A-Z]*$,Sebastião Laranjeiras
^[^A-Z]*SEBASTIÃO[^A-Z]+LARANJEIRAS[^A-Z]*$,Sebastião Laranjeiras
^[^A-Z]*CIPO[^A-Z]*$,Cipó
^[^A-Z]*CIPÓ[^A-Z]*$,Cipó
^[^A-Z]*OLINDINA[^A-Z]*$,Olindina
^[^A-Z]*RIBEIRA[^A-Z]+DO[^A-Z]+AMPARO[^A-Z]*$,Ribeira do Amparo
^[^A-Z]*INHAMBUPE[^A-Z]*$,Inhambupe
^[^A-Z]*FATIMA[^A-Z]*$,Fátima
^[^A-Z]*FÁTIMA[^A-Z]*$,Fátima
^[^A-Z]*CORONEL[^A-Z]+JOAO[^A-Z]+SA[^A-Z]*$,Coronel João Sá
^[^A-Z]*CORONEL[^A-Z]+JOÃO[^A-Z]+SÁ[^A-Z]*$,Coronel João Sá
^[^A-Z]*CRISOPOLIS[^A-Z]*$,Crisópolis
^[^A-Z]*CRISÓPOLIS[^A-Z]*$,Crisópolis
^[^A-Z]*OURICANGAS[^A-Z]*$,Ouriçangas
^[^A-Z]*OURIÇANGAS[^A-Z]*$,Ouriçangas
^[^A-Z]*ITANAGRA[^A-Z]*$,Itanagra
^[^A-Z]*HELIOPOLIS[^A-Z]*$,Heliópolis
^[^A-Z]*HELIÓPOLIS[^A-Z]*$,Heliópolis
^[^A-Z]*CARDEAL[^A-Z]+DA[^A-Z]+SILVA[^A-Z]*$,Cardeal da Silva
^[^A-Z]*ARAMARI[^A-Z]*$,Aramari
^[^A-Z]*ARACAS[^A-Z]*$,Araças
^[^A-Z]*ARAÇAS[^A-Z]*$,Araças
^[^A-Z]*ANTAS[^A-Z]*$,Antas
^[^A-Z]*PEDRAO[^A-Z]*$,Pedrão
^[^A-Z]*PEDRÃO[^A-Z]*$,Pedrão
^[^A-Z]*JUAZEIRO[^A-Z]*$,Juazeiro
^[^A-Z]*PAULO[^A-Z]+AFONSO[^A-Z]*$,Paulo Afonso
^[^A-Z]*SOBRADINHO[^A-Z]*$,Sobradinho
^[^A-Z]*SENHOR[^A-Z]+DO[^A-Z]+BONFIM[^A-Z]*$,Senhor do Bonfim
^[^A-Z]*CASA[^A-Z]+NOVA[^A-Z]*$,Casa Nova
^[^A-Z]*CAMPO[^A-Z]+FORMOSO[^A-Z]*$,Campo Formoso
^[^A-Z]*FILADELFIA[^A-Z]*$,Filadélfia
^[^A-Z]*FILADÉLFIA[^A-Z]*$,Filadélfia
^[^A-Z]*CURACA[^A-Z]*$,Curaçá
^[^A-Z]*CURAÇÁ[^A-Z]*$,Curaçá
^[^A-Z]*JAGUARARI[^A-Z]*$,Jaguarari
^[^A-Z]*PILAO[^A-Z]+ARCADO[^A-Z]*$,Pilão Arcado
^[^A-Z]*PILÃO[^A-Z]+ARCADO[^A-Z]*$,Pilão Arcado
^[^A-Z]*CAMPO[^A-Z]+ALEGRE[^A-Z]+DE[^A-Z]+LOURDES[^A-Z]*$,Campo Alegre de Lourdes
^[^A-Z]*REMANSO[^A-Z]*$,Remanso
^[^A-Z]*SENTO[^A-Z]+SE[^A-Z]*$,Sento Sé
^[^A-Z]*SENTO[^A-Z]+SÉ[^A-Z]*$,Sento Sé
^[^A-Z]*UAUA[^A-Z]*$,Uauá
^[^A-Z]*UAUÁ[^A-Z]*$,Uauá
^[^A-Z]*PINDOBACU[^A-Z]*$,Pindobaçu
^[^A-Z]*PINDOBAÇU[^A-Z]*$,Pindobaçu
^[^A-Z]*PONTO[^A-Z]+NOVO[^A-Z]*$,Ponto Novo
^[^A-Z]*GLORIA[^A-Z]*$,Glória
^[^A-Z]*GLÓRIA[^A-Z]*$,Glória
^[^A-Z]*MACURURE[^A-Z]*$,Macururé
^[^A-Z]*MACURURÉ[^A-Z]*$,Macururé
^[^A-Z]*CANUDOS[^A-Z]*$,Canudos
^[^A-Z]*ANTONIO[^A-Z]+GONCALVES[^A-Z]*$,Antônio Gonçalves
^[^A-Z]*ANTÔNIO[^A-Z]+GONÇALVES[^A-Z]*$,Antônio Gonçalves
^[^A-Z]*SANTA[^A-Z]+BRIGIDA[^A-Z]*$,Santa Brígida
^[^A-Z]*SANTA[^A-Z]+BRÍGIDA[^A-Z]*$,Santa Brígida
^[^A-Z]*JEREMOABO[^A-Z]*$,Jeremoabo
^[^A-Z]*RODELAS[^A-Z]*$,Rodelas
^[^A-Z]*ITIUBA[^A-Z]*$,Itiúba
^[^A-Z]*ITIÚBA[^A-Z]*$,Itiúba
^[^A-Z]*ANDORINHA[^A-Z]*$,Andorinha
^[^A-Z]*PEDRO[^A-Z]+ALEXANDRE[^A-Z]*$,Pedro Alexandre
^[^A-Z]*ABARE[^A-Z]*$,Abaré
^[^A-Z]*ABARÉ[^A-Z]*$,Abaré
^[^A-Z]*CHORROCHO[^A-Z]*$,Chorrochó
^[^A-Z]*CHORROCHÓ[^A-Z]*$,Chorrochó
^[^A-Z]*BARREIRAS[^A-Z]*$,Barreiras
^[^A-Z]*LUIS[^A-Z]+EDUARDO[^A-Z]+MAGALHAES[^A-Z]*$,Luís Eduardo Magalhães
^[^A-Z]*LUÍS[^A-Z]+EDUARDO[^A-Z]+MAGALHÃES[^A-Z]*$,Luís Eduardo Magalhães
^[^A-Z]*BOM[^A-Z]+JESUS[^A-Z]+DA[^A-Z]+LAPA[^A-Z]*$,Bom Jesus da Lapa
^[^A-Z]*SAO[^A-Z]+DESIDERIO[^A-Z]*$,São Desidério
^[^A-Z]*SÃO[^A-Z]+DESIDÉRIO[^A-Z]*$,São Desidério
^[^A-Z]*RIACHAO[^A-Z]+DAS[^A-Z]+NEVES[^A-Z]*$,Riachão das Neves
^[^A-Z]*RIACHÃO[^A-Z]+DAS[^A-Z]+NEVES[^A-Z]*$,Riachão das Neves
^[^A-Z]*OLIVEIRA[^A-Z]+DOS[^A-Z]+BREJINHOS[^A-Z]*$,Oliveira dos Brejinhos
^[^A-Z]*MANSIDAO[^A-Z]*$,Mansidão
^[^A-Z]*MANSIDÃO[^A-Z]*$,Mansidão
^[^A-Z]*BURITIRAMA[^A-Z]*$,Buritirama
^[^A-Z]*CRISTOPOLIS[^A-Z]*$,Cristópolis
^[^A-Z]*CRISTÓPOLIS[^A-Z]*$,Cristópolis
^[^A-Z]*IBOTIRAMA[^A-Z]*$,Ibotirama
^[^A-Z]*BARRA[^A-Z]*$,Barra
^[^A-Z]*MUQUEM[^A-Z]+DE[^A-Z]+SAO[^A-Z]+FRANCISCO[^A-Z]*$,Muquém de São Francisco
^[^A-Z]*MUQUÉM[^A-Z]+DE[^A-Z]+SÃO[^A-Z]+FRANCISCO[^A-Z]*$,Muquém de São Francisco
^[^A-Z]*FORMOSA[^A-Z]+DO[^A-Z]+RIO[^A-Z]+PRETO[^A-Z]*$,Formosa do Rio Preto
^[^A-Z]*SANTA[^A-Z]+RITA[^A-Z]+DE[^A-Z]+CASSIA[^A-Z]*$,Santa Rita de Cássia
^[^A-Z]*SANTA[^A-Z]+RITA[^A-Z]+DE[^A-Z]+CÁSSIA[^A-Z]*$,Santa Rita de Cássia
^[^A-Z]*MORPARA[^A-Z]*$,Morpará
^[^A-Z]*MORPARÁ[^A-Z]*$,Morpará
^[^A-Z]*PARATINGA[^A-Z]*$,Paratinga
^[^A-Z]*SERRA[^A-Z]+DO[^A-Z]+RAMALHO[^A-Z]*$,Serra do Ramalho
^[^A-Z]*COCOS[^A-Z]*$,Cocos
^[^A-Z]*CORRENTINA[^A-Z]*$,Correntina
^[^A-Z]*TABOCAS[^A-Z]+DO[^A-Z]+BREJO[^A-Z]+VELHO[^A-Z]*$,Tabocas do Brejo Velho
^[^A-Z]*FEIRA[^A-Z]+DA[^A-Z]+MATA[^A-Z]*$,Feira da Mata
^[^A-Z]*BAIANOPOLIS[^A-Z]*$,Baianópolis
^[^A-Z]*BAIANÓPOLIS[^A-Z]*$,Baianópolis
^[^A-Z]*CORIBE[^A-Z]*$,Coribe
^[^A-Z]*SAO[^A-Z]+FELIX[^A-Z]+DO[^A-Z]+CORIBE[^A-Z]*$,São Félix do Coribe
^[^A-Z]*SÃO[^A-Z]+FÉLIX[^A-Z]+DO[^A-Z]+CORIBE[^A-Z]*$,São Félix do Coribe
^[^A-Z]*ANGICAL[^A-Z]*$,Angical
^[^A-Z]*WANDERLEY[^A-Z]*$,Wanderley
^[^A-Z]*JABORANDI[^A-Z]*$,Jaborandi
^[^A-Z]*SANTA[^A-Z]+MARIA[^A-Z]+DA[^A-Z]+VITORIA[^A-Z]*$,Santa Maria da Vitória
^[^A-Z]*SANTA[^A-Z]+MARIA[^A-Z]+DA[^A-Z]+VITÓRIA[^A-Z]*$,Santa Maria da Vitória
^[^A-Z]*CATOLANDIA[^A-Z]*$,Catolândia
^[^A-Z]*CATOLÂNDIA[^A-Z]*$,Catolândia
^[^A-Z]*COTEGIPE[^A-Z]*$,Cotegipe
^[^A-Z]*BROTAS[^A-Z]+DE[^A-Z]+MACAUBAS[^A-Z]*$,Brotas de Macaúbas
^[^A-Z]*BROTAS[^A-Z]+DE[^A-Z]+MACAÚBAS[^A-Z]*$,Brotas de Macaúbas
^[^A-Z]*VITORIA[^A-Z]+DA[^A-Z]+CONQUISTA[^A-Z]*$,Vitória da Conquista
^[^A-Z]*VITÓRIA[^A-Z]+DA[^A-Z]+CONQUISTA[^A-Z]*$,Vitória da Conquista
^[^A-Z]*IGUAI[^A-Z]*$,Iguaí
^[^A-Z]*IGUAÍ[^A-Z]*$,Iguaí
^[^A-Z]*POCOES[^A-Z]*$,Poções
^[^A-Z]*POÇÕES[^A-Z]*$,Poções
^[^A-Z]*BRUMADO[^A-Z]*$,Brumado
^[^A-Z]*ITAPETINGA[^A-Z]*$,Itapetinga
^[^A-Z]*URANDI[^A-Z]*$,Urandi
^[^A-Z]*CANDIDO[^A-Z]+SALES[^A-Z]*$,Cândido Sales
^[^A-Z]*CÂNDIDO[^A-Z]+SALES[^A-Z]*$,Cândido Sales
^[^A-Z]*GUANAMBI[^A-Z]*$,Guanambi
^[^A-Z]*ENCRUZILHAD[^A-Z]*A[^A-Z]*$,Encruzilhada
^[^A-Z]*CAATIBA[^A-Z]*$,Caatiba
^[^A-Z]*CAETITE[^A-Z]*$,Caetité
^[^A-Z]*CAETITÉ[^A-Z]*$,Caetité
^[^A-Z]*PIRIPA[^A-Z]*$,Piripá
^[^A-Z]*PIRIPÁ[^A-Z]*$,Piripá
^[^A-Z]*PLANALTO[^A-Z]*$,Planalto
^[^A-Z]*BARRA[^A-Z]+DO[^A-Z]+CHOCA[^A-Z]*$,Barra do Choça
^[^A-Z]*BARRA[^A-Z]+DO[^A-Z]+CHOÇA[^A-Z]*$,Barra do Choça
^[^A-Z]*POTIRAGUA[^A-Z]*$,Potiraguá
^[^A-Z]*POTIRAGUÁ[^A-Z]*$,Potiraguá
^[^A-Z]*IBICUI[^A-Z]*$,Ibicuí
^[^A-Z]*IBICUÍ[^A-Z]*$,Ibicuí
^[^A-Z]*ITARANTIM[^A-Z]*$,Itarantim
^[^A-Z]*ITORORO[^A-Z]*$,Itororó
^[^A-Z]*ITORORÓ[^A-Z]*$,Itororó
^[^A-Z]*CONDEUBA[^A-Z]*$,Condeúba
^[^A-Z]*CONDEÚBA[^A-Z]*$,Condeúba
^[^A-Z]*RIACHO[^A-Z]+DE[^A-Z]+SANTANA[^A-Z]*$,Riacho de Santana
^[^A-Z]*MACARANI[^A-Z]*$,Macarani
^[^A-Z]*NOVA[^A-Z]+CANAA[^A-Z]*$,Nova Canaã
^[^A-Z]*NOVA[^A-Z]+CANAÃ[^A-Z]*$,Nova Canaã
^[^A-Z]*PALMAS[^A-Z]+DE[^A-Z]+MONTE[^A-Z]+ALTO[^A-Z]*$,Palmas de Monte Alto
^[^A-Z]*PINDAI[^A-Z]*$,Pindaí
^[^A-Z]*PINDAÍ[^A-Z]*$,Pindaí
^[^A-Z]*MAIQUINIQUE[^A-Z]*$,Maiquinique
^[^A-Z]*LIVRAMENTO[^A-Z]+DE[^A-Z]+NOSSA[^A-Z]+SENHORA[^A-Z]*$,Livramento de Nossa Senhora
^[^A-Z]*ARACATU[^A-Z]*$,Aracatu
^[^A-Z]*BOQUIRA[^A-Z]*$,Boquira
^[^A-Z]*BOM[^A-Z]+JESUS[^A-Z]+DA[^A-Z]+SERRA[^A-Z]*$,Bom Jesus da Serra
^[^A-Z]*ITAMBE[^A-Z]*$,Itambé
^[^A-Z]*ITAMBÉ[^A-Z]*$,Itambé
^[^A-Z]*CANDIBA[^A-Z]*$,Candiba
^[^A-Z]*LICINIO[^A-Z]+DE[^A-Z]+ALMEIDA[^A-Z]*$,Licínio de Almeida
^[^A-Z]*LICÍNIO[^A-Z]+DE[^A-Z]+ALMEIDA[^A-Z]*$,Licínio de Almeida
^[^A-Z]*ANAGE[^A-Z]*$,Anagé
^[^A-Z]*ANAGÉ[^A-Z]*$,Anagé
^[^A-Z]*MORTUGABA[^A-Z]*$,Mortugaba
^[^A-Z]*IBIPITANGA[^A-Z]*$,Ibipitanga
^[^A-Z]*MIRANTE[^A-Z]*$,Mirante
^[^A-Z]*PARAMIRIM[^A-Z]*$,Paramirim
^[^A-Z]*RIO[^A-Z]+DO[^A-Z]+PIRES[^A-Z]*$,Rio do Pires
^[^A-Z]*CARAIBAS[^A-Z]*$,Caraíbas
^[^A-Z]*CARAÍBAS[^A-Z]*$,Caraíbas
^[^A-Z]*DOM[^A-Z]+BASILIO[^A-Z]*$,Dom Basílio
^[^A-Z]*DOM[^A-Z]+BASÍLIO[^A-Z]*$,Dom Basílio
^[^A-Z]*RIBEIRAO[^A-Z]+DO[^A-Z]+LARGO[^A-Z]*$,Ribeirão do Largo
^[^A-Z]*RIBEIRÃO[^A-Z]+DO[^A-Z]+LARGO[^A-Z]*$,Ribeirão do Largo
^[^A-Z]*RIO[^A-Z]+DO[^A-Z]+ANTONIO[^A-Z]*$,Rio do Antônio
^[^A-Z]*RIO[^A-Z]+DO[^A-Z]+ANTÔNIO[^A-Z]*$,Rio do Antônio
^[^A-Z]*MACAUBAS[^A-Z]*$,Macaúbas
^[^A-Z]*MACAÚBAS[^A-Z]*$,Macaúbas
^[^A-Z]*FIRMINO[^A-Z]+ALVES[^A-Z]*$,Firmino Alves
^[^A-Z]*TREMEDAL[^A-Z]*$,Tremedal
^[^A-Z]*MALHADA[^A-Z]*$,Malhada
^[^A-Z]*MALHADA[^A-Z]+DE[^A-Z]+PEDRAS[^A-Z]*$,Malhada de Pedras
^[^A-Z]*PRESIDENTE[^A-Z]+JANIO[^A-Z]+QUADROS[^A-Z]*$,Presidente Jânio Quadros
^[^A-Z]*PRESIDENTE[^A-Z]+JÂNIO[^A-Z]+QUADROS[^A-Z]*$,Presidente Jânio Quadros
^[^A-Z]*BARRA[^A-Z]+DA[^A-Z]+ESTIVA[^A-Z]*$,Barra da Estiva
^[^A-Z]*CACULE[^A-Z]*$,Caculé
^[^A-Z]*CACULÉ[^A-Z]*$,Caculé
^[^A-Z]*CAETANOS[^A-Z]*$,Caetanos
^[^A-Z]*CARINHANHA[^A-Z]*$,Carinhanha
^[^A-Z]*GUAJERU[^A-Z]*$,Guajeru
^[^A-Z]*JUSSIAPE[^A-Z]*$,Jussiape
^[^A-Z]*IGAPORA[^A-Z]*$,Igaporã
^[^A-Z]*IGAPORÃ[^A-Z]*$,Igaporã
^[^A-Z]*CORDEIROS[^A-Z]*$,Cordeiros
^[^A-Z]*IBIASSUCE[^A-Z]*$,Ibiassucê
^[^A-Z]*IBIASSUCÊ[^A-Z]*$,Ibiassucê
^[^A-Z]*IBICOARA[^A-Z]*$,Ibicoara
^[^A-Z]*MAETINGA[^A-Z]*$,Maetinga
^[^A-Z]*ITUACU[^A-Z]*$,Ituaçu
^[^A-Z]*ITUAÇU[^A-Z]*$,Ituaçu
^[^A-Z]*IUIU[^A-Z]*$,Iuiú
^[^A-Z]*IUIÚ[^A-Z]*$,Iuiú
^[^A-Z]*JACARACI[^A-Z]*$,Jacaraci
^[^A-Z]*BOTUPORA[^A-Z]*$,Botuporã
^[^A-Z]*BOTUPORÃ[^A-Z]*$,Botuporã
^[^A-Z]*ITABUNA[^A-Z]*$,Itabuna
^[^A-Z]*ILHEUS[^A-Z]*$,Ilhéus
^[^A-Z]*ILHÉUS[^A-Z]*$,Ilhéus
^[^A-Z]*JEQUIE[^A-Z]*$,Jequié
^[^A-Z]*JEQUIÉ[^A-Z]*$,Jequié
^[^A-Z]*IPIAU[^A-Z]*$,Ipiaú
^[^A-Z]*IPIAÚ[^A-Z]*$,Ipiaú
^[^A-Z]*GANDU[^A-Z]*$,Gandu
^[^A-Z]*VALENCA[^A-Z]*$,Valença
^[^A-Z]*VALENÇA[^A-Z]*$,Valença
^[^A-Z]*LENÇÓIS[^A-Z]*$,Lençóis
^[^A-Z]*LENCOIS[^A-Z]*$,Lençóis
^[^A-Z]*ITAJUIPE[^A-Z]*$,Itajuípe
^[^A-Z]*ITAJUÍPE[^A-Z]*$,Itajuípe
^[^A-Z]*CAMACAN[^A-Z]*$,Camacan
^[^A-Z]*URUCUCA[^A-Z]*$,Uruçuca
^[^A-Z]*URUÇUCA[^A-Z]*$,Uruçuca
^[^A-Z]*JAGUAQUARA[^A-Z]*$,Jaguaquara
^[^A-Z]*WENCESLAU[^A-Z]+GUIMARAES[^A-Z]*$,Wenceslau Guimarães
^[^A-Z]*WENCESLAU[^A-Z]+GUIMARÃES[^A-Z]*$,Wenceslau Guimarães
^[^A-Z]*IBICARAI[^A-Z]*$,Ibicaraí
^[^A-Z]*IBICARAÍ[^A-Z]*$,Ibicaraí
^[^A-Z]*ITUBERA[^A-Z]*$,Ituberá
^[^A-Z]*ITUBERÁ[^A-Z]*$,Ituberá
^[^A-Z]*ITACARE[^A-Z]*$,Itacaré
^[^A-Z]*ITACARÉ[^A-Z]*$,Itacaré
^[^A-Z]*BUERAREMA[^A-Z]*$,Buerarema
^[^A-Z]*UBAITABA[^A-Z]*$,Ubaitaba
^[^A-Z]*UBATA[^A-Z]*$,Ubatã
^[^A-Z]*UBATÃ[^A-Z]*$,Ubatã
^[^A-Z]*AURELINO[^A-Z]+LEAL[^A-Z]*$,Aurelino Leal
^[^A-Z]*CAMAMU[^A-Z]*$,Camamu
^[^A-Z]*IBIRAPITANGA[^A-Z]*$,Ibirapitanga
^[^A-Z]*COARACI[^A-Z]*$,Coaraci
^[^A-Z]*ITAGIBA[^A-Z]*$,Itagibá
^[^A-Z]*ITAGIBÁ[^A-Z]*$,Itagibá
^[^A-Z]*SAO[^A-Z]+JOSE[^A-Z]+DA[^A-Z]+VITORIA[^A-Z]*$,São José da Vitória
^[^A-Z]*SÃO[^A-Z]+JOSÉ[^A-Z]+DA[^A-Z]+VITÓRIA[^A-Z]*$,São José da Vitória
^[^A-Z]*APUAREMA[^A-Z]*$,Apuarema
^[^A-Z]*IBIRATAIA[^A-Z]*$,Ibirataia
^[^A-Z]*FLORESTA[^A-Z]+AZUL[^A-Z]*$,Floresta Azul
^[^A-Z]*TEOLANDIA[^A-Z]*$,Teolândia
^[^A-Z]*TEOLÂNDIA[^A-Z]*$,Teolândia
^[^A-Z]*CAIRU[^A-Z]*$,Cairu
^[^A-Z]*IGRAPIUNA[^A-Z]*$,Igrapiúna
^[^A-Z]*IGRAPIÚNA[^A-Z]*$,Igrapiúna
^[^A-Z]*TAPEROA[^A-Z]*$,Taperoá
^[^A-Z]*TAPEROÁ[^A-Z]*$,Taperoá
^[^A-Z]*PIRAI[^A-Z]+DO[^A-Z]+NORTE[^A-Z]*$,Piraí do Norte
^[^A-Z]*PIRAÍ[^A-Z]+DO[^A-Z]+NORTE[^A-Z]*$,Piraí do Norte
^[^A-Z]*MANOEL[^A-Z]+VITORINO[^A-Z]*$,Manoel Vitorino
^[^A-Z]*NOVA[^A-Z]+IBIA[^A-Z]*$,Nova Ibiá
^[^A-Z]*NOVA[^A-Z]+IBIÁ[^A-Z]*$,Nova Ibiá
^[^A-Z]*MARAU[^A-Z]*$,Maraú
^[^A-Z]*MARAÚ[^A-Z]*$,Maraú
^[^A-Z]*CANAVIEIRAS[^A-Z]*$,Canavieiras
^[^A-Z]*ITAPE[^A-Z]*$,Itapé
^[^A-Z]*ITAPÉ[^A-Z]*$,Itapé
^[^A-Z]*JITAUNA[^A-Z]*$,Jitaúna
^[^A-Z]*JITAÚNA[^A-Z]*$,Jitaúna
^[^A-Z]*UNA[^A-Z]*$,Una
^[^A-Z]*MARACAS[^A-Z]*$,Maracás
^[^A-Z]*MARACÁS[^A-Z]*$,Maracás
^[^A-Z]*BARRO[^A-Z]+PRETO[^A-Z]*$,Barro Preto
^[^A-Z]*PAU[^A-Z]+BRASIL[^A-Z]*$,Pau Brasil
^[^A-Z]*NILO[^A-Z]+PECANHA[^A-Z]*$,Nilo Peçanha
^[^A-Z]*NILO[^A-Z]+PEÇANHA[^A-Z]*$,Nilo Peçanha
^[^A-Z]*SANTA[^A-Z]+LUZIA[^A-Z]*$,Santa Luzia
^[^A-Z]*DARIO[^A-Z]+MEIRA[^A-Z]*$,Dário Meira
^[^A-Z]*DÁRIO[^A-Z]+MEIRA[^A-Z]*$,Dário Meira
^[^A-Z]*ALMADINA[^A-Z]*$,Almadina
^[^A-Z]*GONGOGI[^A-Z]*$,Gongogi
^[^A-Z]*ITAJU[^A-Z]+DO[^A-Z]+COLONIA[^A-Z]*$,Itaju do Colônia
^[^A-Z]*ITAJU[^A-Z]+DO[^A-Z]+COLÔNIA[^A-Z]*$,Itaju do Colônia
^[^A-Z]*ITAPITANGA[^A-Z]*$,Itapitanga
^[^A-Z]*LAJEDO[^A-Z]+DO[^A-Z]+TABOCAL[^A-Z]*$,Lajedo do Tabocal
^[^A-Z]*MASCOTE[^A-Z]*$,Mascote
^[^A-Z]*SANTA[^A-Z]+CRUZ[^A-Z]+DA[^A-Z]+VITORIA[^A-Z]*$,Santa Cruz da Vitória
^[^A-Z]*SANTA[^A-Z]+CRUZ[^A-Z]+DA[^A-Z]+VITÓRIA[^A-Z]*$,Santa Cruz da Vitória
^[^A-Z]*BREJOES[^A-Z]*$,Brejões
^[^A-Z]*BREJÕES[^A-Z]*$,Brejões
^[^A-Z]*ITAGI[^A-Z]*$,Itagi
^[^A-Z]*AIQUARA[^A-Z]*$,Aiquara
^[^A-Z]*SANTA[^A-Z]+INES[^A-Z]*$,Santa Inês
^[^A-Z]*SANTA[^A-Z]+INÊS[^A-Z]*$,Santa Inês
^[^A-Z]*JUSSARI[^A-Z]*$,Jussari
^[^A-Z]*LAFAIETE[^A-Z]+COUTINHO[^A-Z]*$,Lafaiete Coutinho
^[^A-Z]*BARRA[^A-Z]+DO[^A-Z]+ROCHA[^A-Z]*$,Barra do Rocha
^[^A-Z]*CRAVOLANDIA[^A-Z]*$,Cravolândia
^[^A-Z]*CRAVOLÂNDIA[^A-Z]*$,Cravolândia
^[^A-Z]*ITAQUARA[^A-Z]*$,Itaquara
^[^A-Z]*ITIRUCU[^A-Z]*$,Itiruçu
^[^A-Z]*ITIRUÇU[^A-Z]*$,Itiruçu
^[^A-Z]*ITAMARI[^A-Z]*$,Itamari
^[^A-Z]*ARATACA[^A-Z]*$,Arataca
^[^A-Z]*IRAMAIA[^A-Z]*$,Iramaia
^[^A-Z]*BOA[^A-Z]+NOVA[^A-Z]*$,Boa Nova
